session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Female,disabled,Public,SSS,SSS1,SSS1,2.75,1.25,0.25,0.25,12.775,0.0,2.2,11.0,11.0,0.21,0.47,0.54,0.65,0.43,0.41
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,all,Private,JSS,JSS1,JSS1,73.25,1.0,1.75,1.25,24.55,0.0,73.25,41.8571,58.6,0.57,0.31,0.12,0.5,0.35,0.34
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,167.5,1.5,4.25,3.25,23.55,0.0,111.6667,39.4118,51.5385,1.79,0.32,0.19,0.77,0.53,0.52
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,all,Private,SSS,SSS1,SSS1,49.25,1.0,1.25,1.0,25.55,0.25,49.25,39.4,49.25,0.38,0.38,0.14,0.5,0.35,0.34
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,all,Public,JSS,JSS1,JSS1,186.75,3.0,4.25,3.25,24.55,0.0,62.25,43.9412,57.4615,1.25,0.94,0.37,1.45,1.02,0.99
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,742.25,5.5,18.25,13.25,23.55,0.0,134.9545,40.6712,56.0189,8.24,1.17,0.67,2.86,1.98,1.95
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,all,Public,SSS,SSS1,SSS1,147.5,2.5,3.5,2.75,25.55,0.25,59.0,42.1429,53.6364,1.05,0.96,0.32,1.25,0.88,0.85
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,12.275,0.0,3.0,6.0,6.0,0.24,0.19,0.39,0.29,0.19,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.0,0.75,0.25,0.25,11.775,0.0,6.6667,20.0,20.0,0.12,0.13,0.18,0.3,0.19,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,disabled,Private,SSS,SSS1,SSS1,0.5,0.5,0.25,0.25,12.775,0.0,1.0,2.0,2.0,0.24,0.23,0.42,0.3,0.2,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,disabled,Public,JSS,JSS1,JSS1,4.5,1.5,0.25,0.25,12.275,0.0,3.0,18.0,18.0,0.13,0.42,0.41,0.63,0.4,0.39
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,20.25,2.75,0.5,0.25,11.775,0.0,7.3636,40.5,81.0,0.14,0.4,0.21,0.88,0.55,0.55
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Community Secondary School, Abak Urban I",Male,disabled,Public,SSS,SSS1,SSS1,2.75,1.25,0.25,0.25,12.775,0.0,2.2,11.0,11.0,0.21,0.47,0.54,0.65,0.43,0.41
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,all,Private,JSS,JSS1,JSS1,80.0,1.0,2.0,1.5,24.55,0.0,80.0,40.0,53.3333,0.71,0.31,0.13,0.5,0.35,0.34
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,180.0,1.5,4.5,3.25,23.55,0.0,120.0,40.0,55.3846,1.94,0.32,0.19,0.77,0.53,0.53
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,all,Private,SSS,SSS1,SSS1,39.75,1.0,1.25,1.0,25.55,0.25,39.75,31.8,39.75,0.44,0.39,0.16,0.52,0.36,0.35
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,all,Public,JSS,JSS1,JSS1,211.5,3.0,4.75,3.5,24.55,0.0,70.5,44.5263,60.4286,1.44,0.94,0.36,1.46,1.02,1
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,658.0,5.5,16.25,11.75,23.55,0.0,119.6364,40.4923,56.0,6.91,1.17,0.68,2.81,1.95,1.92
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,all,Public,SSS,SSS1,SSS1,142.0,2.5,3.5,2.75,25.55,0.25,56.8,40.5714,51.6364,1.08,0.96,0.33,1.26,0.88,0.86
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,12.275,0.0,3.0,6.0,6.0,0.24,0.19,0.39,0.29,0.19,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.5,0.75,0.25,0.25,11.775,0.0,7.3333,22.0,22.0,0.11,0.13,0.17,0.29,0.18,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,disabled,Private,SSS,SSS1,SSS1,0.5,0.5,0.25,0.25,12.775,0.0,1.0,2.0,2.0,0.24,0.23,0.42,0.3,0.2,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,disabled,Public,JSS,JSS1,JSS1,5.0,1.5,0.25,0.25,12.275,0.0,3.3333,20.0,20.0,0.12,0.41,0.37,0.6,0.39,0.38
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,17.5,2.75,0.5,0.25,11.775,0.0,6.3636,35.0,70.0,0.16,0.4,0.24,0.9,0.57,0.57
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Female,disabled,Public,SSS,SSS1,SSS1,2.75,1.25,0.25,0.25,12.775,0.0,2.2,11.0,11.0,0.21,0.47,0.54,0.65,0.43,0.41
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,all,Private,JSS,JSS1,JSS1,73.25,1.0,1.75,1.25,24.55,0.0,73.25,41.8571,58.6,0.57,0.31,0.12,0.5,0.35,0.34
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,167.5,1.5,4.25,3.25,23.55,0.0,111.6667,39.4118,51.5385,1.79,0.32,0.19,0.77,0.53,0.52
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,all,Private,SSS,SSS1,SSS1,49.25,1.0,1.25,1.0,25.55,0.25,49.25,39.4,49.25,0.38,0.38,0.14,0.5,0.35,0.34
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,all,Public,JSS,JSS1,JSS1,186.75,3.0,4.25,3.25,24.55,0.0,62.25,43.9412,57.4615,1.25,0.94,0.37,1.45,1.02,0.99
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,742.25,5.5,18.25,13.25,23.55,0.0,134.9545,40.6712,56.0189,8.24,1.17,0.67,2.86,1.98,1.95
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,all,Public,SSS,SSS1,SSS1,147.5,2.5,3.5,2.75,25.55,0.25,59.0,42.1429,53.6364,1.05,0.96,0.32,1.25,0.88,0.85
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,12.275,0.0,3.0,6.0,6.0,0.24,0.19,0.39,0.29,0.19,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.0,0.75,0.25,0.25,11.775,0.0,6.6667,20.0,20.0,0.12,0.13,0.18,0.3,0.19,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,disabled,Private,SSS,SSS1,SSS1,0.5,0.5,0.25,0.25,12.775,0.0,1.0,2.0,2.0,0.24,0.23,0.42,0.3,0.2,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,disabled,Public,JSS,JSS1,JSS1,4.5,1.5,0.25,0.25,12.275,0.0,3.0,18.0,18.0,0.13,0.42,0.41,0.63,0.4,0.39
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,20.25,2.75,0.5,0.25,11.775,0.0,7.3636,40.5,81.0,0.14,0.4,0.21,0.88,0.55,0.55
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Comprehensive High School, Abak Urban I",Male,disabled,Public,SSS,SSS1,SSS1,2.75,1.25,0.25,0.25,12.775,0.0,2.2,11.0,11.0,0.21,0.47,0.54,0.65,0.43,0.41
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,all,Private,JSS,JSS1,JSS1,80.0,1.0,2.0,1.5,24.55,0.0,80.0,40.0,53.3333,0.71,0.31,0.13,0.5,0.35,0.34
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,180.0,1.5,4.5,3.25,23.55,0.0,120.0,40.0,55.3846,1.94,0.32,0.19,0.77,0.53,0.53
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,all,Private,SSS,SSS1,SSS1,39.75,1.0,1.25,1.0,25.55,0.25,39.75,31.8,39.75,0.44,0.39,0.16,0.52,0.36,0.35
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,all,Public,JSS,JSS1,JSS1,211.5,3.0,4.75,3.5,24.55,0.0,70.5,44.5263,60.4286,1.44,0.94,0.36,1.46,1.02,1
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,658.0,5.5,16.25,11.75,23.55,0.0,119.6364,40.4923,56.0,6.91,1.17,0.68,2.81,1.95,1.92
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,all,Public,SSS,SSS1,SSS1,142.0,2.5,3.5,2.75,25.55,0.25,56.8,40.5714,51.6364,1.08,0.96,0.33,1.26,0.88,0.86
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,12.275,0.0,3.0,6.0,6.0,0.24,0.19,0.39,0.29,0.19,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.5,0.75,0.25,0.25,11.775,0.0,7.3333,22.0,22.0,0.11,0.13,0.17,0.29,0.18,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,disabled,Private,SSS,SSS1,SSS1,0.5,0.5,0.25,0.25,12.775,0.0,1.0,2.0,2.0,0.24,0.23,0.42,0.3,0.2,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,disabled,Public,JSS,JSS1,JSS1,5.0,1.5,0.25,0.25,12.275,0.0,3.3333,20.0,20.0,0.12,0.41,0.37,0.6,0.39,0.38
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,17.5,2.75,0.5,0.25,11.775,0.0,6.3636,35.0,70.0,0.16,0.4,0.24,0.9,0.57,0.57
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Female,disabled,Public,SSS,SSS1,SSS1,2.75,1.25,0.25,0.25,12.775,0.0,2.2,11.0,11.0,0.21,0.47,0.54,0.65,0.43,0.41
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,all,Private,JSS,JSS1,JSS1,73.25,1.0,1.75,1.25,24.55,0.0,73.25,41.8571,58.6,0.57,0.31,0.12,0.5,0.35,0.34
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,167.5,1.5,4.25,3.25,23.55,0.0,111.6667,39.4118,51.5385,1.79,0.32,0.19,0.77,0.53,0.52
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,all,Private,SSS,SSS1,SSS1,49.25,1.0,1.25,1.0,25.55,0.25,49.25,39.4,49.25,0.38,0.38,0.14,0.5,0.35,0.34
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,all,Public,JSS,JSS1,JSS1,186.75,3.0,4.25,3.25,24.55,0.0,62.25,43.9412,57.4615,1.25,0.94,0.37,1.45,1.02,0.99
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,742.25,5.5,18.25,13.25,23.55,0.0,134.9545,40.6712,56.0189,8.24,1.17,0.67,2.86,1.98,1.95
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,all,Public,SSS,SSS1,SSS1,147.5,2.5,3.5,2.75,25.55,0.25,59.0,42.1429,53.6364,1.05,0.96,0.32,1.25,0.88,0.85
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,12.275,0.0,3.0,6.0,6.0,0.24,0.19,0.39,0.29,0.19,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.0,0.75,0.25,0.25,11.775,0.0,6.6667,20.0,20.0,0.12,0.13,0.18,0.3,0.19,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,disabled,Private,SSS,SSS1,SSS1,0.5,0.5,0.25,0.25,12.775,0.0,1.0,2.0,2.0,0.24,0.23,0.42,0.3,0.2,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,disabled,Public,JSS,JSS1,JSS1,4.5,1.5,0.25,0.25,12.275,0.0,3.0,18.0,18.0,0.13,0.42,0.41,0.63,0.4,0.39
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,20.25,2.75,0.5,0.25,11.775,0.0,7.3636,40.5,81.0,0.14,0.4,0.21,0.88,0.55,0.55
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I",Male,disabled,Public,SSS,SSS1,SSS1,2.75,1.25,0.25,0.25,12.775,0.0,2.2,11.0,11.0,0.21,0.47,0.54,0.65,0.43,0.41
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,all,Private,JSS,JSS1,JSS1,80.0,1.0,2.0,1.5,24.55,0.0,80.0,40.0,53.3333,0.71,0.31,0.13,0.5,0.35,0.34
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,180.0,1.5,4.5,3.25,23.55,0.0,120.0,40.0,55.3846,1.94,0.32,0.19,0.77,0.53,0.53
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,all,Private,SSS,SSS1,SSS1,39.75,1.0,1.25,1.0,25.55,0.25,39.75,31.8,39.75,0.44,0.39,0.16,0.52,0.36,0.35
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,all,Public,JSS,JSS1,JSS1,211.5,3.0,4.75,3.5,24.55,0.0,70.5,44.5263,60.4286,1.44,0.94,0.36,1.46,1.02,1
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,658.0,5.5,16.25,11.75,23.55,0.0,119.6364,40.4923,56.0,6.91,1.17,0.68,2.81,1.95,1.92
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,all,Public,SSS,SSS1,SSS1,142.0,2.5,3.5,2.75,25.55,0.25,56.8,40.5714,51.6364,1.08,0.96,0.33,1.26,0.88,0.86
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,12.275,0.0,3.0,6.0,6.0,0.24,0.19,0.39,0.29,0.19,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.5,0.75,0.25,0.25,11.775,0.0,7.3333,22.0,22.0,0.11,0.13,0.17,0.29,0.18,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,disabled,Private,SSS,SSS1,SSS1,0.5,0.5,0.25,0.25,12.775,0.0,1.0,2.0,2.0,0.24,0.23,0.42,0.3,0.2,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,disabled,Public,JSS,JSS1,JSS1,5.0,1.5,0.25,0.25,12.275,0.0,3.3333,20.0,20.0,0.12,0.41,0.37,0.6,0.39,0.38
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,17.5,2.75,0.5,0.25,11.775,0.0,6.3636,35.0,70.0,0.16,0.4,0.24,0.9,0.57,0.57
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Female,disabled,Public,SSS,SSS1,SSS1,2.75,1.25,0.25,0.25,12.775,0.0,2.2,11.0,11.0,0.21,0.47,0.54,0.65,0.43,0.41
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,all,Private,JSS,JSS1,JSS1,73.25,1.0,1.75,1.25,24.55,0.0,73.25,41.8571,58.6,0.57,0.31,0.12,0.5,0.35,0.34
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,167.5,1.5,4.25,3.25,23.55,0.0,111.6667,39.4118,51.5385,1.79,0.32,0.19,0.77,0.53,0.52
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,all,Private,SSS,SSS1,SSS1,49.25,1.0,1.25,1.0,25.55,0.25,49.25,39.4,49.25,0.38,0.38,0.14,0.5,0.35,0.34
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,all,Public,JSS,JSS1,JSS1,186.75,3.0,4.25,3.25,24.55,0.0,62.25,43.9412,57.4615,1.25,0.94,0.37,1.45,1.02,0.99
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,742.25,5.5,18.25,13.25,23.55,0.0,134.9545,40.6712,56.0189,8.24,1.17,0.67,2.86,1.98,1.95
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,all,Public,SSS,SSS1,SSS1,147.5,2.5,3.5,2.75,25.55,0.25,59.0,42.1429,53.6364,1.05,0.96,0.32,1.25,0.88,0.85
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,12.275,0.0,3.0,6.0,6.0,0.24,0.19,0.39,0.29,0.19,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.0,0.75,0.25,0.25,11.775,0.0,6.6667,20.0,20.0,0.12,0.13,0.18,0.3,0.19,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,disabled,Private,SSS,SSS1,SSS1,0.5,0.5,0.25,0.25,12.775,0.0,1.0,2.0,2.0,0.24,0.23,0.42,0.3,0.2,0.18
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,disabled,Public,JSS,JSS1,JSS1,4.5,1.5,0.25,0.25,12.275,0.0,3.0,18.0,18.0,0.13,0.42,0.41,0.63,0.4,0.39
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,20.25,2.75,0.5,0.25,11.775,0.0,7.3636,40.5,81.0,0.14,0.4,0.21,0.88,0.55,0.55
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Unity College, Abak",Male,disabled,Public,SSS,SSS1,SSS1,2.75,1.25,0.25,0.25,12.775,0.0,2.2,11.0,11.0,0.21,0.47,0.54,0.65,0.43,0.41
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Female,all,Private,JSS,JSS1,JSS1,73.0,1.0,1.75,1.25,24.55,0.0,73.0,41.7143,58.4,0.58,0.31,0.12,0.5,0.35,0.34
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,237.5,2.0,6.0,4.5,23.55,0.0,118.75,39.5833,52.7778,2.6,0.43,0.26,1.03,0.71,0.7
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Female,all,Private,SSS,SSS1,SSS1,69.25,1.5,1.75,1.25,25.55,0.25,46.1667,39.5714,55.4,0.52,0.57,0.19,0.75,0.52,0.51
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Female,all,Public,JSS,JSS1,JSS1,234.5,3.5,5.0,3.75,24.55,0.0,67.0,46.9,62.5333,1.42,1.09,0.41,1.68,1.18,1.15
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,743.5,6.0,18.25,13.25,23.55,0.0,123.9167,40.7397,56.1132,7.86,1.27,0.74,3.08,2.14,2.1
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Female,all,Public,SSS,SSS1,SSS1,142.0,2.5,3.5,2.75,25.55,0.25,56.8,40.5714,51.6364,1.08,0.96,0.33,1.26,0.88,0.86
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Community Secondary School, Abak Urban II",Female,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,12.275,0.0,3.0,6.0,6.0,0.24,0.19,0.39,0.29,0.19,0.18
